artist,date,year,auction house,seller,Lot Number,Artwork Title,Measurements,purchaser,pounds,shillings,pence
"LANDSEER, Sir Edwin",4/28/1877,1877,Christie's,Albert Grant,96,Adoration of the Shepherds,,Marquess of Hertford,3018,15,0
"LADBROOKE, Robert",3/24/1888,1888,Christie's,Frederick Fish,96,Adoration of the Shepherds,,Woodin,472,10,0
"HUNTER, Colin",2/3/1898,1898,Robinson and Fisher,A. Lewis,96,Adoration of the Shepherds,,,14,14,0
"PERUGINI, Charles Edward",4/3/1880,1880,Christie's,McLean,96,Adoration of the Shepherds,,Piazetta,430,10,0
"MORLAND, George",3/14/1891,1891,Christie's,Charles Goding,,Adoration of the Shepherds,,,50,9,0
"REYNOLDS, Sir Joshua",5/15/1835,1835,Foster's,"John Constable, R.A",,Adoration of the Shepherds,,,,,
"HOLL, Frank",1/26/1878,1878,Christie's,E. S. Palmer,96,Adoration of the Shepherds Baylis,,,110,5,0
"REYNOLDS, Sir Joshua",2/16/1810,1810,Mr. Christie,Orme,,Adriaen Rembrandt.,,Huggins,6290,0,0
"KIESEL, Conrad",6/29/08,1908,Christie's,Stephen G. Holland,96,Adrift,871,Campbell,325,10,0
"LIPPI, Filippo",5/14/1881,1881,Christie's,C. S. Bale,96,Advanced Guard,,Thomas,420,0,0
"KNELLER, Sir Godfrey",2/25/1806,1806,Peter Coxe,Marquess of Lansdowne,,Adversity,,Agnew,472,10,0
"LANDSEER, Sir Edwin",11/28/1903,1903,Christie's,Sir W. R. Williams,,Adversity,,White,1501,10,0
"PROUT, Samuel",5/2/1892,1892,Christie's,Messrs. Murrieta,95,Aeneas and Taurus,,,,,
"ORCHARDSON, Sir William Quiller",5/30/13,1913,Christie's,G. McCulloch,95,"Aeneas and Taurus. From Raggi Palace, Rome",,,,,
"MILLAIS, Sir John Everett",5/22/1858,1858,Christie's,John Miller,95,Aeneas assisting Dido to Dismount.,,Agnew,892,10,0
"ROTTENHAMER, Johann",2/25/1775,1775,Mr. Christie,General Gansell,,Aeneas rescued from Achilles by Venus,,,,,
"ORCHARDSON, Sir William Quiller",3/21/1896,1896,Christie's,Hiram Craven,95,African Hospitality,3! x 47,Agnew,294,0,0
"NASH, Joseph",4/24/1863,1863,Southgate and Barrett,Joseph Nash,,African Hospitality.,,Agnew,525,0,0
"NEWTON, Gilbert Stuart",5/6/1893,1893,Christie's,Lord Clifden,,African Slave with Fish and Bread,,,102,18,0
"REYNOLDS, Sir Joshua",12/17/1887,1887,Christie's,Godfrey,95,After a Wreck,6 x 55,,48,6,0
"LEJEUNE, Henry",3/16/1861,1861,Christie's,Adam Fairrie,95,After Battle of Edgehill,,Somes,231,0,0
"REYNOLDS, Sir Joshua",4/22/1871,1871,Christie's,James H. Mann,95,After Culloden,,Withers,147,0,0
"LADBROOKE, Robert",3/24/1888,1888,Christie's,Frederick Fish,95,After Dessert. Illustrated,0 x 78,Merach,966,0,0
"POOLE, Paul Falconer",3/18/1876,1876,Christie's,James Danby,95,After DessertPuppies.,,A. Wertheimer,294,0,0
"RUBENS, Sir Peter Paul",3/19/1709,1709,Cooper's,Earl of Bellamont,,After Donnybrook.,,,,,
"LELY, Sir Peter",11/16/1724,1724,Cock,Mr. Sykes,95,After Drill,,Agnew,157,10,0
"ROMNEY, George",5/25/1894,1894,Christie's,Miss Romney,95,After Naseby,2x40,Agnew,745,10,0
"NATTIER, Jean Marc",6/18/1887,1887,Christie's,Earl of Lonsdale,95,After Rain,8x72,Agnew,483,0,0
"KIESEL, Conrad",6/29/08,1908,Christie's,Stephen G. Holland,95,After Rain,881 7^x71^,Agnew,184,16,0
"MORLAND, George",3/14/1891,1891,Christie's,Charles Goding,,"After Shower, with Rainbow. Painted with W. Collins, R.A",,Morris,420,0,0
"HONDEKOETER, Melchior",5/25/1895,1895,Robinson and Fisher,Lord Clifden,95,After the Banquet. Illus,9^x25!,Hollender&C.,315,0,0
"NICOL, Erskine",5/2/1891,1891,Christie's,H. W. F. Bolckow,,After the Day's Shooting,4x46,Lacy,178,10,0
"POOLE, Paul Falconer",5/5/1879,1879,Christie's,Joseph Fenton,95,After the Fight,868,Agnew,157,10,0
"KNELLER, Sir Godfrey",3/14/1867,1867,Robinson and Hetley,Overend Gurney and Co,95,After the Fight. Drawing.,,,,,
"LEWIS, John Frederick",5/21/1898,1898,Christie's,Joseph Ruston,,After the Gale,5x48,Bought in,141,15,0
"RIGAUD, Hyacinthe Francois Honorat Mathias Pierre Andre Jean	",5/25/1895,1895,Robinson and Fisher,Lord Clifden,95,After the Storm,6 x 35,Obach,1130,0,0
"REYNOLDS, Sir Joshua",5/2/1856,1856,Christie's,Samuel Rogers,95,"After the Storm, etc",6 x 32,Forbes,162,15,0
"LIOTARD, John Stephe",3/28/08,1908,Christie's,Claude Ponsonby,,After the StormFamily in Gloom,,,,,
"RIGAUD, Hyacinthe Francois Honorat Mathias Pierre Andre Jean	",5/15/1858,1858,Christie's,Col. Hugh Baillie,,After Vespers,,Blair,604,5,0
"NICOL, Erskine",5/2/1891,1891,Christie's,H. W. F. Bolckow,,After Work.1865,,Palmer,55,13,0
"ISRAELS, Josef",5/14/09,1909,Christie's,Sir J. C. Day,95,Afternoon at Seville,881 8x26!,Tooth,262,10,0
"POUSSIN, Nicholas",6/5/1846,1846,Christie's,Edward Higginson,95,Afternoon Tea,889 0x51,Schlanerg,1365,0,0
"LINNELL, John",4/27/1895,1895,Christie's,James Orrock,95,Age and Infancy,,Goupil,477,15,0
"REYNOLDS, Sir Joshua",6/6/04,1904,Christie's,James Orrock,95,Age of Innocence,,Bought in,63,0,0
"LESLIE, Charles Robert",5/6/1893,1893,Christie's,Lord Clifden,,AgeA Lady in 94th Year,,,267,15,0
"REYNOLDS, Sir Joshua",5/11/1860,1860,Christie's,Lord Orkney,94,AgeOld Man in Chair. Illus,6 x 33,Permain,1467,10,0
"MARIS, James",7/18/09,1909,Christie's,Hon. Louise Van Alphen,,Agnes,,Bought in,33,12,0
"OSTADE, Isaac",7/13/1889,1889,Christie's,Secretan,,Agnes,,,,,
"MAES, Nicholas",5/12/1888,1888,Christie's,Lord Monson,,Agnes,,,,,
"MORLAND, George",6/17/1842,1842,Christie's,Henry Hankey Dobree,,Agnes Law. Illustrated.35x 26J,,A. Wertheimer,4090,0,0
"HARDY, James",5/2/1891,1891,Christie's,H. W. F. Bolckow,,Agnes. Engraved,,Bought in,12,12,0
"ROSALBA, Carriera",2/7/1801,1801,Mr. Christie,Earl of Bessborough,,Agnes' Eve,5 x 31,,,,
"MARIS, James",4/29/11,1911,Christie's,John G. Ure,,Agriculture,,,,,
"REYNOLDS, Sir Joshua",3/2/1850,1850,Christie's,Francis Duroveray,94,Ailsa Craig,2J x 52,Dott,252,0,0
"ISRAELS, Josef",5/14/09,1909,Christie's,Sir J. C. Day,94,Air,,Earl Temple,28,7,0
"PALMA, Young, Jacopo Il Giovine, called",6/24/1882,1882,Christie's,Hamilton Palace,94,Air,5 x 19!,,22,1,0
"L'HERMITTE, Leon Augustin",6/14/12,1912,Christie's,G.N.Stevens,,Alan Grant.29x24,,Sulley,210,0,0
"LOCKHART, William Ewart",5/9/1881,1881,Christie's,A.B.Stewart,94,Albanian Peasants and Horses,,Gribble,441,0,0
"MERLE, Hugues",5/5/1888,1888,Christie's,H. W. Bolckow,,"Albenga, Genoa",,,30,9,0
"MORLAND, George",6/15/1895,1895,Christie's,James Price,,Albert Diirer and Message,,Gooch,126,0,0
"LADBROOKE, Robert",3/24/1888,1888,Christie's,Frederick Fish,94,"Albert Diirer's Well, Nuremberg. Dg",6 x 19,Agnew,189,0,0
"LINNELL, John Thomas",3/25/1893,1893,Christie's,S. H. Perks,94,"Albertina, Countess of Nassau",6^x35,Dowdeswell,99,15,0
"LINNELL, John Thomas",5/31/1890,1890,Christie's,William Webster,94,Alchemist and Female,4^x12^,C.Davis,157,10,0
"POUSSIN, Nicholas",6/21/1838,1838,Foster's,John Bartie,94,Alchymist in Laboratory. Meyer collection,,,,,
"REYNOLDS, Sir Joshua",5/13/05,1905,Christie's,Charles Neck,,Aldenham Churchyard. Drawing,,Wright,84,0,0
"LEYDEN, Lucas van",3/13/1790,1790,Mr. Greenwood,Gentleman,,Aldwich Lord,,Coleraine,2,12,6
"PHILLIP, John",5/5/1879,1879,Christie's,Joseph Fenton,94,Alehouse Kitchen,9! X 24^,Shepherd,378,0,0
"REYNOLDS, Sir Joshua",12/17/1887,1887,Christie's,Stephen T. Tucker,94,Alessandro de Medici,,,,,
"RUYSDAEL, Jacob",4/14/1810,1810,Mr. Christie,Walsh Porter,,Alethe,,Graves,735,0,0
"MURILLO, Bartolom Estban",6/16/1810,1810,Mr. Christie,From Seville,,Alexander,4x13^,Colnaghi,383,5,0
"KIRK, Thomas",5/17/1805,1805,Mr. Christie,Boydell Gallery,,Alexander Allen.81x57J,,Sulley,367,10,0
"METZU, Gabriel",6/14/1890,1890,Christie's,George Perkins,,Alexander Blair,,Sedelmeyer,105,0,0
"LINNELL, John",5/3/1890,1890,Christie's,Charles Neck,,Alexander Campbell.29x24,,Agnew,367,10,0
"RIGAUD, Hyacinthe Francois Honorat Mathias Pierre Andre Jean	",7/18/1896,1896,Christie's,Lizergh Castle,,Alexander Charles Fraser.1803,,; Agnew,630,0,0
"PYNAKER, Adam",6/5/1846,1846,Christie's,Edward Higginson,94,Alexander crossing Campaspee,,,,,
"HOGARTH, William",7/12/1828,1828,Christie's,Mr. Hall,,Alexander Edgar,,Vokins,9,19,0
"HARDY, James",5/2/1891,1891,Christie's,H. W. F. Bolckow,,Alexander Fraser Tytler.1,,Colnaghi,225,15,0
"MULLER, William James",2/15/1855,1855,Foster's,Charles Birch,,Alexander Henderson,,A. Reid,231,0,0
"HOWARD, Henry",3/17/1849,1849,Christie's,"Henry Howard, R.A",,Alexander instigated by Thias. Oil,,,,,
"RILEY, John",11/16/1724,1724,Cock,Mr. Sykes,94,Alexander Pope. Half-length,,Dunn,12,12,0
"LINTON, William",7/1/1892,1892,Robinson and Fisher,Nobleman,94,Alexander Pope. Marble,,Agnew,535,10,0
"HOWARD, Henry",3/17/1849,1849,Christie's,"Henry Howard, R.A",,Alexander sacrificing at Tomb of Achilles,,,,,
"ROMNEY, George",5/25/1894,1894,Christie's,Miss Romney,94,Alexander Shaw,9x24,Browne,493,10,0
"LOUARD, J. D.",4/27/1866,1866,Christie's,"Moore, McQueen, and Co",94,Alexander WalkerHighland Dress,,,5,5,0
"HUNT, William Henry",5/29/1897,1897,Christie's,Sir John Pender,,"Alexander Wedderburn, Lord Loughborough, in Robes. Panel. Illustrated",,Colnaghi and Co.,1260,0,0
"LUCATELLI, Andrea",4/8/1835,1835,Littledale of Dublin,John Crosbie Graves,,"Alexander, Lord Abercromby.29",,Agnew,714,0,0
"LANDSEER, Sir Edwin",2/18/1856,1856,Christie's,James Goding,94,Alexandria,843,Kenyon,798,0,0
"MARKS, Henry Stacey",4/24/1875,1875,Christie's,Sam Mendel,94,Alfred disguised in Tent of Guthrum,4 x,Pennell,690,0,0
"LEITCH, William Leighton",3/13/1884,1884,Christie's,W. L. Leitch,94,"Alfred, the Saxon King, Disguised, 1852",8 x 86,Coureau,115,10,0
"LANDSEER, Sir Edwin",4/28/1877,1877,Christie's,Albert Grant,94,"Alfred, the Saxon King, in Tent",8 x 86 Thomas,Thomas,225,15,0
"REYNOLDS, Sir Joshua",4/14/1864,1864,Christie's,"Thos. Turton, Bishop of Ely",94,Algerian Horsemen at Ford,75x29,Tooth,441,0,0
"REYNOLDS, Sir Joshua",6/20/1863,1863,Christie's,J. Allnutt,93,"Algernon, Earl of Northumberland",644,,,,
"L'HERMITTE, Leon Augustin",6/14/12,1912,Christie's,G. N. Stevens,,All Fours. Drawing,,,27,16,0
LEFEBRE,1792,1792,Private Sale,European Museum,93,All Hallow's Eve,833 3x43,Maple,205,0,0
"HENNESSY, William J.",4/28/1883,1883,Christie's,Aston Rowant Gallery,,All Hallow's Eve,,Shepherd,110,5,0
"LESLIE, Charles Robert",5/6/1893,1893,Christie's,Lord Clifden,,All Round the World,0 x 24,Cox,210,0,0
"HOLBEIN, Hans, the Younger",10/10/1849,1849,English & Son,John Hugh Smyth Pigott,93,All that remains of William Smith. nfx9,,,304,10,0
"MORLAND, George",3/24/1888,1888,Christie's,Frederick Fish,93,Allahn Akbar at Prayer,873 6^x34,Vokins,598,10,0
"MARIS, James",4/29/11,1911,Christie's,JohnG. Ure,,"Allan Ramsay reading "" Gentle Shepherd "" to Lady Eglinton",,,,,
"REYNOLDS, Sir Joshua",12/17/1887,1887,Christie's,Stephen T. Tucker,93,Allegorical Subject,,,,,
"MARIS, Mathew",4/29/11,1911,Christie's,J. G. Ure,,Allegorical Subject,,McLean,105,0,0
"LINNELL, John",5/6/1893,1893,Christie's,Lord Clifden,,Allen Macdougall,,Wallis,210,0,0
"LINNELL, John",6/5/1873,1873,Christie's,John Hargreaves,93,Almighty and Angels,| in. circle,C. B.,100,0,0
"ROMNEY, George",5/25/1894,1894,Christie's,Miss Romney,93,Almighty and four Angels. i8f in. circle,,Coureau,283,10,0
"MANTEGNA, Andrea",6/24/1882,1882,Christie's,Hamilton Palace,93,Alone,5x10^,Obach,252,0,0
"NATTIER, Jean Marc",6/18/1887,1887,Christie's,Earl of Lonsdale,93,Alonzo de Erulla y Zuniga.,,Warne,262,10,0
"REYNOLDS, Sir Joshua",4/27/1872,1872,Christie's,Joseph Gillott,93,Alphaeus and Arethusa,,,,,
"LANDSEER, Sir Edwin",4/28/1877,1877,Christie's,Albert Grant,93,Alpheus and Arethusa,0 x 33 out. fr. J,,,,
"HONDEKOETER, Melchior",5/25/1895,1895,Robinson and Fisher,Lord Clifden,93,Alpheus and Arethusa,0 x 37,,,,
"OSTADE, Adriaen van",6/4/1846,1846,Christie's,Edward Higginson,93,Alpheus and Arethusa,,,9,9,0
"LANDSEER, Sir Edwin",5/4/1895,1895,Christie's,Duchess of Montrose,,Alpine Dogs. Sketch,,Creswick,151,4,0
"MORLAND, George",6/17/1842,1842,Christie's,Henry Hankey Dobree,,Alpine Mastiff's,820 4x93,,840,0,0
"NICHOLSON, Francis",4/24/1844,1844,Christie's,Francis Nicholson,93,Alpine Mastiffs,4 x 93,,1942,10,0
"HOWARD, Henry",5/18/1805,1805,Mr. Christie,Boydell Gallery,,Alsatian Broom Girl. Drawing,,,12,12,0
"REYNOLDS, Sir Joshua",4/8/1869,1869,Christie's,H. W. Phillips,93,Altar PieceVirgin and Angels. Illustrated.,,Murray,420,0,0
"RUBENS, Sir Peter Paul",5/2/1856,1856,Christie's,Samuel Rogers,93,"Altar-piece at AntwerpDescent from Cross, etc. Copy by B. West",,,10,10,0
"LINNELL, John Thomas",5/31/1890,1890,Christie's,William Webster,93,"Altar-piece Augustin, Antwerp. Sketch",,,11,16,0
"MACLISE, Daniel",6/6/1863,1863,Christie's,John Guest,93,"Altar, Rouen Cathedral",844 0x42,Richardson,430,10,0
"ISRAELS, Josef",5/14/09,1909,Christie's,Sir J. C. Day,93,Alum Bay and Needles,799 7^x35^,Leggatt,84,0,0
"LINTON, William",2/15/1877,1877,Christie's,W. Linton,93,Always tell the Truth,,McLean,472,10,0
"LEADER, Benjamin Williams",3/25/1893,1893,Christie's,S. H. Perks,93,Amalfi,,Vokins,210,0,0
"HUNT, William Henry",5/27/1860,1860,Christie's,John Mitchell,92,Amalfi,7 x 45,Agnew,220,10,0
"LEADER, Benjamin Williams",3/25/1893,1893,Christie's,S. H. Perks,92,Amalfi,7 x 35,,,,
"HOWARD, Henry",5/18/1805,1805,Mr. Christie,Boydell Gallery,,Amalfi. Drawing,,Leggatt,116,11,0
"LINNELL, William",5/31/1890,1890,Christie's,William Webster,92,Amateur D'Estampes,1^x9!,Vokins,525,0,0
"REYNOLDS, Sir Joshua",4/27/1872,1872,Christie's,Joseph Gillott,92,Amateur Gardening,3J x 19J,,99,15,0
"LANDSEER, Sir Edwin",5/6/1893,1893,Christie's,Lord Clifden,,Ambrose Awdry in Blue,,McLean,90,6,0
"MORLAND, George",3/5/1803,1803,Mr. Christie,Richard Walker,,Ambrose Baptizing,,Agnew,131,5,0
"POUSSIN, Nicholas",6/21/1838,1838,Foster's,John Bartie,92,Ambrose putting away Tamar,,Dermer,210,0,0
"MOLA, Pietro Francesco",4/8/1788,1788,A Committee at Christie's,"Dr. Newton, etc",92,Ambuscade at Edgehill,878 0 x 60,Fraser,136,10,0
"MORLAND, George",3/24/1888,1888,Christie's,Frederick Fish,92,"Amelia, Mrs. Angerstein, and Child",07 x 72,Colnaghi,2257,10,0
"HOBBEMA, Meindert",6/25/1892,1892,Christie's,Earl of Dudley,,Amiens Cathedral,,,28,7,0
"NICHOLSON, Francis",4/24/1844,1844,Christie's,Francis Nicholson,92,Amiens. Drawing,,,,,
"KIRK, Thomas",5/17/1805,1805,Mr. Christie,Boydell Gallery,,Among the Old Masters,,Baker,304,10,0
"MURILLO, Bartolom Estban",6/16/1810,1810,Mr. Christie,From Seville,,Among the Welsh Hills,,Tooth,110,5,0
"HOLLAND, James",5/15/1849,1849,Phillips,Lady Blessington,92,Amongst the Perch,879 xio|,Agnew,115,10,0
"LINTON, William",3/7/1891,1891,Christie's,E. Fox White,92,Amsterdam,xi2i,J. Reid,892,10,0
"REYNOLDS, Sir Joshua",12/17/1887,1887,Christie's,Stephen T. Tucker,92,Amsterdam,875. Illustrated 7^x44,Wallis,1260,0,0
"MURILLO, Bartolom Estban",5/29/1794,1794,Greenwood,Sir L. Dundas,,Amsterdam,,,,,
"ROMNEY, George",5/25/1894,1894,Christie's,Miss Romney,92,"Amsterdam, ixjx i6f",,Preyer,777,10,0
"ROBERTS, David",4/22/1853,1853,Christie's,Ralph Bernal,92,Amsterdam. Oil,1x58,Tooth,1155,0,0
"POTTER, Paul",3/20/1858,1858,Christie's,Robert Sanderson,,An Actress,,Shepherd,11,11,0
"NATTIER, Jean Marc",6/18/1887,1887,Christie's,Earl of Lonsdale,92,An Actress as Hebe,,,,,
"RUSSELL, John",7/22/13,1913,Christie's,Rev. T. Russell,,An Admiral,,,,,
"LELY, Sir Peter",4/28/1774,1774,Langford's,Charles Jennens,,An African Marigold,,Fordham,220,10,0
"POOLE, Paul Falconer",12/7/1864,1864,Christie's,Hay ward and Leggatt,92,An Albanian House,7 x 58,Sampson,189,0,0
"JORDAENS, Jacob",3/24/1775,1775,Mr. Walsh,Robert Ansell,,An Alchemist,,Dowdeswell,1365,0,0
"MOLA, Pietro Francesco",3/27/1795,1795,Skinner,C. A. Calonne,,An Alehouse Door,,,,,
"RAPHAEL, Sanzio",5/21/1896,1896,Christie's,Earl of Warwick,92,An Allegory,,National Gallery,315,0,0
"MARIESCHI, J",11/20/08,1908,Robinson and Fisher,Martin Colnaghi,92,An Ancient Custom,876 9x51,Colnaghi,420,0,0
"MARIESCHI, J",11/19/08,1908,Robinson and Fisher,Martin Colnaghi,92,An Ancient Custom,877 8 x 37^,Agnew,178,10,0
"LARESSE, Gerard. See LAIRESSE",3/5/1777,1777,Mr. Squibb,Nobleman,,An Ancient Custom,,Vokins,714,0,0
"RUBENS, Sir Peter Paul",5/12/1888,1888,Christie's,Lord Monson,,An ancient drawing and a sketch of the Holy Family. A pair,,Hornsby,1,1,0
"HOBBEMA, Meindert",6/25/1892,1892,Christie's,Earl of Dudley,,An Angry Farmer,,,,,
"MYTENS, Daniel",3/7/04,1904,Christie's,Townshend Heirlooms,92,An Anxious Moment,5 x 40,Martin,1732,10,0
"POUSSIN, Nicholas",5/16/1801,1801,Mr. Christie,W. Young Ottley,,"An Apothecary holding Cup, etc",,Duveen,210,0,0
"ISRAELS, Josef",5/14/09,1909,Christie's,Sir J. C. Day,92,An April Day,887 0x84,Frickenhaus,651,0,0
"PARMIGIANO, Il, Francesco Mazzuoli, called",6/22/1833,1833,Christie's,Chr. Sebastian Erard,,An April Day,9 x 83,Clark,525,0,0
"PORTER, Sir Robert Ker",5/17/1805,1805,Mr. Christie,Boydell Gallery,,An April Day,,G,147,0,0
"HOBBEMA, Meindert",7/13/1889,1889,Christie's,Secretan,,An Arab Horseman,,Koekkoek,210,0,0
"REYNOLDS, Sir Joshua",5/1/1897,1897,Christie's,"George Richmond, R.A",,An Arab Outpost,,Ripley,89,5,0
"REYNOLDS, Sir Joshua",4/18/1888,1888,Christie's,"Samuel Cousins, R.A",92,An Arab Sheikh,,Vokins,173,5,0
"PYNE, James Baker",4/30/1881,1881,Christie's,Col. Holdsworth,,An Arab Stable,,Agnew,320,5,0
"RICCI, Sebastian",4/1786,1786,A Committee at Christie's,Noel Desenfans,92,An Arch Girl,,Bought in,13,13,0
"PROUT, Samuel",4/23/1853,1853,Christie's,Ralph Bernal,91,An Arch Girl,,Bought in,3,3,0
"HALS, Frank",11/16/1724,1724,Cock,Mr. Sykes,91,An Archer in Grey Cloak,,Obach,168,0,0
"MORLAND, George",3/24/1888,1888,Christie's,Frederick Fish,91,An Archway in Utrecht. Drawing,,,21,0,0
"MAUVE, Anton",6/14/12,1912,Christie's,G.N.Stevens,,An Arrest for Witchcraft,,Pearce,357,0,0
"REYNOLDS, Sir Joshua",5/8/1885,1885,Christie's,S. Herman de Zoete,91,An Artist in his Studio,856 7^x30,Vokins,183,15,0
"LANDSEER, Sir Edwin",3/25/1893,1893,Christie's,S. H. Perks,91,An Artist in his Study,,Comyn,52,10,0
"MYTENS, Daniel",3/7/04,1904,Christie's,Townshend Heirlooms,91,An Artist's Studio. Drawing,,,31,10,0
"LIPPI, Filippino",5/13/1902,1902,Christie's,Sir J. C. Robinson,91,An Ascetic at Devotion,,,52,10,0
"REYNOLDS, Sir Joshua",4/27/1872,1872,Christie's,Joseph Gillott,91,An Assyrian Captive,880,,462,0,0
"REYNOLDS, Sir Joshua",5/2/1856,1856,Christie's,Samuel Rogers,91,An Autumn Afternoon,873.27ix38,Sampson,273,0,0
"LINNELL, John",6/5/1873,1873,Christie's,John Hargreaves,91,An Autumn Afternoon,"873, 28x38",Cooper,546,0,0
"LANDSEER, Sir Edwin",7/8/05,1905,Christie's,Lady Ashburton,,An Autumn Flood in Wales,8J x 51,Gardiner,252,0,0
"RUBENS, Sir Peter Paul",11/19/08,1908,Robinson and Fisher,Martin Colnaghi,91,An Autumn Morning,897 8x37,,141,15,0
REMBRANDT VAN RHYN,4/8/1786,1786,A Committee at Christie's,Noel Desenfans,91,An Avenue,,Bought in,367,10,0
"MAUVE, Anton",4/26/1902,1902,Christie's,Charles Dorman,,An Ayah holding Beads to a Child,,West,84,0,0
"LELY, Sir Peter",1792,1792,Private Sale,European Museum,91,An Azure Sea.,,Agnew,138,15,0
"ISRAELS, Josef",5/14/09,1909,Christie's,Sir J. C. Day,91,An Eagle,,Grindley,15,15,0
"MAES, Nicholas",5/24/1838,1838,Christie's,Lord Northwick,,An early Portrait of Sir J. Reynolds with a Paper in his Hand,,Sir C. Pole,22,1,0
"MATSYS, Quentin",5/6/1807,1807,Peter Coxe,Andrew Wilson,,An Easter Offering,,Bought in,204,15,0
"PYNAKER, Adam",4/25/1807,1807,Peter Coxe,Edward Coxe,,An Eastern Bazaar,,Gooden,173,5,0
"ROMNEY, George",5/25/1894,1894,Christie's,Miss Romney,91,An Egyptian Slinger,875 9sx43,,294,0,0
"MURILLO, Bartolom Estban",5/14/1814,1814,Peter Coxe,J. J. La Salle,,An elderly Lady with Ruff Seated,,,,,
"REYNOLDS, Sir Joshua",12/17/1887,1887,Christie's,Stephen T. Tucker,91,An Elegy,3J x 19J,Koekkoek,346,10,0
"METZU, Gabriel",6/21/1845,1845,Christie's,Earl Granville,,An Elopement,,Agnew,1155,0,0
"REYNOLDS, Sir Joshua",6/19/1832,1832,Christie's,James Douglas.,,An English Homestead Nathan,,,367,10,0
"HONDEKOETER, Melchior",5/26/11,1911,Christie's,C. Butler,91,An English Landscape,x 13^,Agnew,105,0,0
"LANDSEER, Sir Edwin",4/28/1877,1877,Christie's,Albert Grant,91,An English Pastoral,839,Agnew,892,10,0
"HILLIARD, Nicholas",7/17/07,1907,Trollope,Duke of Sutherland,91,An Essex Lock,889 3^x36,H. Smith,210,0,0
"SANT,James",11/17/1860,1860,Christie's,Henry Wallis,91,An Event in the Forest,864. Illustrated 6|- x 30^,Agnew,2625,0,0
"MILLAIS, Sir John Everett",5/22/1858,1858,Christie's,John Miller,90,An exceeding fine Head,,Lord Duplin,21,0,0
"LESLIE, Charles Robert",4/13/1872,1872,Christie's,Sir F. G. Moon,90,An Hour with Author,873 3x181,Wallis,252,0,0
"LAWRENCE, Sir Thomas",11/25/09,1909,Robinson and Fisher,Peel Heirlooms,90,An Incantation,,,36,18,0
REMBRANDT VAN RHYN,4/8/1786,1786,A Committee at Christie's,Noel Desenfans,90,An Incantation,,,81,18,0
"ISRAELS, Josef",2/16/1884,1884,Christie's,W. Cox,90,An Incantation Scene. Upright landscape,,,,,
"OLIVER, Isaac",7/4/1892,1892,Christie's,Charles Magniac,90,An Incantation SceneRocky Landscape,,,,,
"REYNOLDS, Sir Joshua",5/1/1821,1821,Mr. Christie,Winter,,An Indiaman Ashore. Drawing,,,26,15,6
"REYNOLDS, Sir Joshua",5/15/1830,1830,Christie's,Sir T. Lawrence (? Allnutt).,,An Infant Sleeping,,Rev. Willens,5,10,0
"REYNOLDS, Sir Joshua",5/19/1821,1821,Mr. Christie,Lady Thomond.,,An Inn amongst Trees,,Sackville Gallery,152,5,0
"LE BRUN, Madame Vige",6/18/1887,1887,Christie's,Earl of Lonsdale,90,An Intercepted Correspondence,869 l x 35,Agnew,1764,0,0
"REYNOLDS, Sir Joshua",6/11/1831,1831,Christie's,King.,,An Interesting Tale.33x43,,Ayling,115,10,0
"MIGNARD, Pierre",3/7/04,1904,Christie's,Townshend Heirlooms,90,An Interior. Drawing,7x12,,132,6,0
"REYNOLDS, Sir Joshua",5/15/1841,1841,Christie's,"Hon. Lady Stuart, dec.",,An Irish Merrymaking,,Wallis,105,0,0
"ROMNEY, George",5/25/1894,1894,Christie's,Miss Romney,90,An Italian Family,856,Agnew,141,15,0
"REYNOLDS, Sir Joshua",3/3/1821,1821,Mr. Christie,Anstey,,An Italian Footboy. Drawing,,,12,12,0
"REYNOLDS, Sir Joshua",5/21/1856,1856,Christie's,Thomas Emmerson,90,An Italian Landscape. Drawing,,Agnew,120,5,0
"REYNOLDS, Sir Joshua",5/8/1885,1885,Christie's,S. Herman de Zoete,90,An Italian Town,874 5^x39!,Bowden,141,15,0
"REYNOLDS, Sir Joshua",5/19/1821,1821,Mr. Christie,Lady Thomond.,,An Italian Washerwoman,,Vokins,4,14,6
"ROBERTS, David",5/20/1865,1865,Christie's,,,An Odd Fish. R.A,,Williams,152,5,0
"REYNOLDS, Sir Joshua",5/19/1821,1821,Mr. Christie,Lady Thomond.,,An Officer,,Adams,3,13,6
"REYNOLDS, Sir Joshua",12/17/1887,1887,Christie's,Stephen T. Tucker,90,An Officer of State,,,37,16,0
"ROBERTS, David",10/28/1861,1861,Christie's,,,An Officer of State,,,,,
"POUSSIN, Nicholas",6/21/1838,1838,Foster's,John Bartie,90,"An Officer, Red Coat and White Facings",7J,,68,5,0
"REYNOLDS, Sir Joshua",7/16/1831,1831,Christie's,,,An Officer. Three-quarter length,,Leggatt,11,11,0
"REYNOLDS, Sir Joshua",4/8/1869,1869,Christie's,H. W. Phillips,90,An old Burgomaster. Half-length,,,,,
"ISRAELS, Josef",5/14/09,1909,Christie's,Sir J. C. Day,90,An Old Fisherman,2^x17,Lefevre,157,10,0
"REYNOLDS, Sir Joshua",6/23/1823,1823,Mr. Christie,Mr. Mitchell.,,An old Fort.,,Agnew,619,10,0
"REYNOLDS, Sir Joshua",3/3/1809,1809,Mr. Christie,Hoppner.,,An old Fort.,,Colnaghi,640,10,0
